"";"unavailable";"richness";"LMA";"Dur_flowering";"Entomophily";"Zooc";"Resprouter";"Height";"richness_new_spp"
"X1";5;19;0,112433080881275;3,85617216486095;0,623926403515433;0,521773610683328;0,401968997663385;0,459555392758788;7
"X3";5;11;0,111827939046422;3,71948558713653;0,632397423860331;0,575770706313142;0,166666666805556;0,488966145027408;2
"X4";13;21;0,0939800599303457;4,11457565538495;0,327883351379806;0,259475478765793;0,33949777306583;0,501371910087906;2
"X6";4;15;0,121840067908405;4,0605350878127;0,526643304605536;0,382936928973123;0,299305003510612;0,451095033512462;4
"X7";12;30;0,102977702362196;4,05953700672265;0,582557391063502;0,357748256808826;0,339910025266817;0,393950730182682;4
"X8";13;22;0,117833772030828;3,98875888043063;0,4378145025;0,423420893624981;0,394788096666667;0,543660828194654;2
"X9";7;19;0,124555271383606;3,89087794855566;0,506407494641453;0,236608687736643;0,187353556646537;0,560220458579946;3
"X10";17;31;0,136312428545775;3,93736708905804;0,277629917054867;0,341279703381565;0,232208392189625;0,533885105063032;3
"X11";18;28;0,113204986048078;3,88393626156819;0,507779224972185;0,435686636356639;0,307521230184361;0,556722596193651;5
"X13";11;17;0,113742476469358;4,15730624862847;0,297714668889376;0,409162142495164;0,183528400738305;0,732379456561799;5
"X14";9;22;0,120224000575142;4,1765936171408;0,44072376913441;0,429601862024668;0,230868442294119;0,403555940491837;5
"X16";10;20;0,104923523112881;4,34548249437739;0,752141351482459;0,413097211724137;0,257553451177191;0,179123858555336;9
"X17";9;20;0,110140048313982;4,43384666871936;0,870867298191425;0,827346268641629;0,218316259844701;0,191144056725856;7
"X19";7;15;0,0941138445697099;4,25376777423145;0,515821993382897;0,714856601144919;0,527247385833333;0,220055822105765;3
"X20";7;15;0,106120550062216;4,82596519377379;0,805367132258673;0,774710584736623;0,119609242545832;0,100448942785307;7
"X21";13;22;0,101998109473493;4,79621037026053;0,412600151322833;0,624476919434392;0,127350518982482;0,474744746431068;6
"X22";4;13;0,128978439306864;3,89407140199851;0,271246754658257;0,241048737169165;0,110683574188193;0,577593241064753;5
"X27";9;19;0,104148949889375;4,80303859673145;0,621223323382897;0,783475773644919;0,617059425833333;0,311318328342711;4
"X28";10;20;0,0958250807453125;4,73359134953894;0,657597485887544;0,483436090148128;0,210446013269653;0,180639456797399;3
"X29";16;24;0,122824237645371;3,8910887451705;0,369851747255355;0,324494870723054;0,295579806061522;0,611718374376168;7
"X30";15;19;0,102188033629207;4,84151344089348;0,811856819722449;0,807512108610884;0,5342850927661;0,100464028004568;5
"X36";16;24;0,096170604724316;3,95186682321711;0,716932370978717;0,648707614462958;0,34139245987849;0,15235694962354;4
"X37";14;18;0,101380225800993;4,32522371388714;0,605461935532744;0,469363851366846;0,242748508563816;0,513249675987462;5
"X38";7;16;0,0676892556360338;4,90076218998988;0,642437478904985;0,827161679717472;0,141826276689113;0,101995714260451;6
"X39";14;16;0,0981135245930268;4,46501656093035;0,60808454532902;0,252802817259452;0,27032346551687;0,110990036541336;4
"X43";11;28;0,134627846241143;3,94314975343245;0,287765531706921;0,26361885918824;0,204054053537537;0,537674880339259;8
"X44";12;22;0,0712757834555818;5,26173076559874;0,769641596917204;0,326673230727289;0,500441133904403;0,284519569713164;5
"X45";12;20;0,100097230384951;4,21120992845426;0,841876353589507;0,41263613701474;0,428952745673086;0,24102656851774;5
"X46";7;15;0,0701942992424829;4,900414893129;0,239262166549681;0,186113220654998;0,0975331698943334;0,102024868346856;8
"X47";15;26;0,0976408471133166;3,97573121518824;0,7976444362287;0,530902929057054;0,458279065127642;0,211416415594648;3
"X48";11;20;0,0951546666622363;5,8289765613689;0,303877483976018;0,885179918623581;0,223949225028617;0,130888526474362;6
"X51";9;18;0,123927306286333;3,98332753851045;0,4590446275;0,344569920303077;0,213048541645996;0,523721555595954;7
"X52";12;15;0,0957393580462343;4,46994887664796;0,53572722951695;0,871386041481124;0,196614564098334;0,0843427770316143;5
"X53";14;20;0,060555104111289;3,89811165537484;0,634188520788119;0,575051647498349;0,250295113104691;0,355925593076537;7
"X55";9;19;0,0630392559860631;5,17261372264613;0,893017341944126;0,627336959701926;0,290429947069668;0,317652393560713;5
"X56";16;19;0,0960590284097367;5,9455477379387;0,751734485610059;0,369356132101609;0,410946770550185;0,0943327888879032;4
"X57";11;20;0,0950597086367506;4,62463866114278;0,800654875349404;0,439173789320046;0,307784086213151;0,168216348652509;6
"X58";18;23;0,0967133513711549;4,47377317711295;0,833650519332541;0,533433331666667;0,379563286591587;0,139005733879624;4
"X60";10;23;0,110902557489937;4,16911178904402;0,530828775601463;0,44963483769931;0,438113166436985;0,406261178216854;3
"X61";7;23;0,136229560165059;3,90407736518748;0,404490242280761;0,478037105915252;0,238578349102987;0,445396441985974;6
"X62";7;14;0,058451771169493;3,92661846374627;0,908428588607844;0,466313268868823;0,471451291075589;0,10452720817162;4
"X63";7;20;0,0634269246077705;4,63723007063657;0,575718183581273;0,468820200406261;0,28172122378824;0,100905402967852;6
"X65";8;18;0,0563695342951996;4,59702112801419;0,554388322678425;0,289946542794488;0,244819793523443;0,180586754033085;7
"X69";12;21;0,115834936671899;3,97749454746872;0,305384223232275;0,128694031906002;0,0831150700692626;0,573763233469457;6
"X71";12;20;0,10180244572355;3,95836991941222;0,434221650104288;0,606543165005504;0,681117191279899;0,205353679762168;5
"X74";10;19;0,143679340086062;3,97934371369281;0,3575330574289;0,439596851157771;0,373341510337142;0,461196723306047;8
"X75";8;18;0,145289572678315;3,9076600777696;0,217214438447379;0,326934602581104;0,171537215210791;0,432782584393579;4
"X76";4;16;0,134953189081617;3,9374460858413;0,389259747851998;0,0933812143339595;0,168567273019291;0,554559582716274;6
"X79";7;12;0,112419636879308;4,20980425995934;0,505437939472599;0,390966672158018;0,153049742802492;0,576685577834427;6
"X80";13;20;0,0959246570057408;4,24588580822613;0,485340981262216;0,453916031664262;0,549457156241354;0,282056715357379;3
"PE10";10;20;0,0948236946876024;4,05424858685094;0,450654493435121;0,507937547335602;0,234416058606432;0,174099678193504;5
"PE11";21;36;0,0990644159239623;4,0803779510327;0,405425514197556;0,551057792777493;0,368937208430055;0,250937634898118;5
"PE13.1";18;27;0,0985632794945127;4,46343217491542;0,488461946407012;0,598013183870812;0,340077585299623;0,259490794416772;6
"PE13.2";12;18;0,0956072217577723;4,02086887875172;0,512307160846561;0,770573932049043;0,159226537234622;0,255857351489035;2
"PE14";8;22;0,103780331741969;4,00828120424595;0,59221920032869;0,598603049396485;0,58127183180212;0,349750231638482;1
"PE20";12;26;0,108723095572165;4,29569191318225;0,533763998020377;0,576918202057778;0,302234663414683;0,531947177718164;5
"UECR1";8;24;0,125146820813546;3,94250149250709;0,389547427680777;0,401134790459293;0,288932902435937;0,52933047060737;6
"UECR2";5;17;0,125340716480979;3,96356782572544;0,138660687245396;0,696986124715161;0,291985537413608;0,844998074129526;3
