"LMA" "Dur_flowering" "Entomophily" "Zooc" "Resprouter" "Height" "multifunctionality"
"X1VN" 1 0 1 1 1 0 4
"X3.1VN" 0 0 0 1 1 0 2
"X3.2VN" 1 0 0 1 1 0 3
"X4VN" 1 0 1 1 1 0 4
"X5.1VN" 0 0 0 1 1 0 2
"X5.2VN" 1 0 0 0 0 0 1
"X6VN" 0 0 0 0 0 1 1
"CTM1" 0 1 1 0 0 0 2
"CTM2" 1 0 1 1 1 0 4
"CTM3" 1 0 1 0 1 1 4
"CTM4" 0 1 1 0 1 0 3
"CTM5" 0 0 0 0 0 0 0
"CTM6" 0 0 1 1 1 0 3
"UECN1" 1 0 0 0 0 0 1
"UECN2" 0 1 1 1 0 0 3
"UECN3" 0 1 1 1 0 0 3
"UEMA1" 0 1 0 0 1 0 2
"UEMA2" 0 1 1 0 0 1 3
"UEMA3" 1 0 0 1 1 1 4
