"site";"fire"
"X1";1
"X3";1
"X4";1
"X6";0
"X7";1
"X8";1
"X9";0
"X10";0
"X11";0
"X13";0
"X14";0
"X16";0
"X17";0
"X19";1
"X20";0
"X21";0
"X22";0
"X27";1
"X28";0
"X29";0
"X30";0
"X36";0
"X37";0
"X38";0
"X39";0
"X43";0
"X44";0
"X45";0
"X46";0
"X47";0
"X48";0
"X51";0
"X52";0
"X53";0
"X55";0
"X56";0
"X57";0
"X58";0
"X60";0
"X61";0
"X62";0
"X63";0
"X65";0
"X69";0
"X71";0
"X74";0
"X75";0
"X76";0
"X79";0
"X80";0
"X1VN";1
"X3.1VN";0
"X3.2VN";0
"X4VN";1
"X5.1VN";0
"X5.2VN";0
"X6VN";1
"CTM1";0
"CTM2";1
"CTM3";0
"CTM4";0
"CTM5";0
"CTM6";1
"PE10";0
"PE11";0
"PE13.1";0
"PE13.2";0
"PE14";1
"PE20";0
"UECN1";0
"UECN2";0
"UECN3";0
"UECR1";0
"UECR2";0
"UECR3";0
"UEMA1";0
"UEMA2";0
"UEMA3";1
