"Abrev";"all_species";"Planted";"LMA";"Height";"Dur_flowering";"Entomophily";"Zooc";"Resprouter";"Woody";"Undesired";"X1";"X3";"X4";"X6";"X7";"X8";"X9";"X10";"X11";"X13";"X14";"X16";"X17";"X19";"X20";"X21";"X22";"X27";"X28";"X29";"X30";"X36";"X37";"X38";"X39";"X43";"X44";"X45";"X46";"X47";"X48";"X51";"X52";"X53";"X55";"X56";"X57";"X58";"X60";"X61";"X62";"X63";"X65";"X69";"X71";"X74";"X75";"X76";"X79";"X80";"X1VN";"X3.1VN";"X3.2VN";"X4VN";"X5.1VN";"X5.2VN";"X6VN";"CTM1";"CTM2";"CTM3";"CTM4";"CTM5";"CTM6";"PE10";"PE11";"PE13.1";"PE13.2";"PE14";"PE20";"UECN1";"UECN2";"UECN3";"UECR1";"UECR2";"UECR3";"UEMA1";"UEMA2";"UEMA3"
"Aampe";"Allium ampeloprasum";0;0,0710227272727273;130;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05834684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Arose";"Allium roseum";0;0,0709219858156028;75;2;1;0;0;0;0;0;0;0,005945731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,054204739;0;0;0;0;0;0,031238335;0;0;0;0;0;0;0;0,013986014;0;0;0;0;0;0;0;0
"Amone";"Anagallis monelli";0;0,0343170899107756;50;2;1;1;0;0;0;0,002784643;0;0;0;0,011501634;0,008942278;0;0;0;0;0;0;0;0;0,010498688;0,007074941;0;0;0;0;0;0;0,004673891;0;0,015841584;0;0;0;0;0,018921322;0;0;0;0;0,072395764;0;0;0,031578116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005648654;0;0;0;0,004021717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Apalm";"Anemone palmata";0;0,0295971823482405;45;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,052720768;0;0;0;0;0;0;0;0;0;0;0;0;0,036713287;0;0;0;0;0;0,014954638;0;0
"Auned";"Arbutus unedo";1;0,0955109837631328;400;5;1;1;1;1;0;0,106512594;0;0;0;0,069009803;0,119610085;0,131960766;0;0,089642262;0,011475044;0;0;0;0;0;0,086471496;0;0,071721311;0,047301395;0,0962188;0;0;0;0;0;0;0,033036616;0;0;0,101917119;0;0;0;0,045123634;0;0,021613833;0;0,021315229;0,063808567;0,09826779;0,054054054;0,038531553;0;0;0,019164619;0;0;0,004209854;0,104336731;0;0,127452254;0;0;0;0;0;0;0,002068609;0;0;0,036195455;0;0,09324178;0;0,009224987;0;0;0,091930297;0,00224724;0;0,059341845;0,129563233;0,107842622;0,073053979;0,036675618;0;0,039706533;0,007394573
"Abaet";"Aristolochia baetica";0;0,050251256281407;40;8;1;0;0;0;0;0;0;0;0;0;0;0;0,003564835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003453399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Aalbu";"Asparagus albus";0;0,0683480281593876;150;4;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,009724473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Aaphy";"Asparagus aphyllus";0;0,163934426229508;71,88;5;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,073945728
"Afist";"Asphodelus fistulosus";0;0,0983284169124877;24;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,056486537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Asple";"Asplenium sp.";0;0,0662611923436517;17,1411;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003721966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Aaqua";"Asteriscus aquaticus";0;0,0384024577572965;30;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,065341683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,118417936;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Alinu";"Asterolinon linum-stellatum";0;0,0410273241979158;15;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003125583;0,001851429;0;0;0;0;0;0;0;0;0,011931131;0;0,027225701;0;0;0,200660066;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,083891846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Abarb";"Avena barbata";0;0,0591715976331361;61,2260274;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,046594982;0,006703911;0,102083979;0,023622047;0;0;0;0;0;0,003598133;0,032670841;0;0;0,015841584;0;0,060567129;0;0,788359788;0,015481081;0,00622083;0;0,008874099;0,016043959;0;0,123919308;0,024390244;0,069471856;0;0;0,028828829;0;0;0;0;0;0;0;0;0,021032505;0;0;0;0;0;0;0;0;0;0;0;0;0;0,12160898;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bperf";"Blackstonia perfoliata";0;0,0293134783373395;9,67;7;1;0;0;0;0;0,030631073;0;0,031710565;0,077187384;0,013418573;0,105816954;0,013033162;0;0,003686696;0;0,031474298;0;0,013407821;0;0;0,04009133;0,010097971;0;0;0,074238149;0;0,029948271;0,098151714;0;0;0,034150084;0;0,010384216;0;0,041282884;0;0,108885585;0;0;0;0,037463977;0;0;0,009646354;0;0;0,006067961;0;0,062142108;0;0,037473632;0,001860983;0,069228715;0,027050264;0;0,00519683;0;0;0,025981813;0;0;0,005648654;0,005171522;0;0;0;0;0;0;0,004612493;0,009464366;0;0;0,012257673;0,001748252;0;0;0,01685041;0;0;0,009969758;0,00320214;0
"Bdist";"Brachypodium distachyom";0;0,0304878048780488;18,13068182;4;0;0;0;0;0;0;0;0,184317662;0;0;0,011923037;0;0,014259338;0;0,007813958;0;0,121863799;0;0;0,097112861;0;0,043757873;0;0,012128563;0,015908175;0,0161916;0,035393411;0;0;0,224422442;0,005059272;0;0,034614053;0;0;0;0;0;0,050137371;0;0;0,017073171;0,007894529;0,027009791;0;0;0,242718447;0,016;0;0,002457002;0;0;0;0;0,124282983;0;0;0;0;0;0;0;0;0;0,042139384;0;0;0;0,065481759;0;0;0;0,005727744;0;0;0;0;0;0,008117109;0,109628207;0;0;0
"Bphoe";"Brachypodium phoenicoides";1;0,114285714285714;57;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,044692737;0,324812659;0;0;0;0;0;0;0;0,01089028;0;0,013386881;0;0;0;0;0;0,017201202;0,051840251;0;0;0;0;0;0;0;0;0;0;0,072815534;0;0;0,42997543;0;0;0;0;0;0;0;0;0;0;0;0,161928074;0;0;0;0;0;0;0;0,030749956;0;0;0;0,012257673;0;0;0;0;0;0;0;0,096064193;0
"Bmaxi";"Briza maxima";0;0,0279329608938548;25,6;5;0;0;0;0;0;0;0;0;0;0;0;0;0,003564835;0,006144493;0;0;0;0,004469274;0;0;0;0;0;0,014554275;0,011931131;0,019789734;0;0;0;0;0;0;0,010384216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,103558652;0;0;0;0;0;0;0;0,03536245;0,094643662;0;0;0,012257673;0;0;0;0;0;0;0;0;0
"Bmino";"Briza minor";0;0,027027027027027;40;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,017291066;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brube";"Bromus rubens";0;0,0602409638554217;9,74;2;0;0;0;0;0;0;0;0,021801014;0;0;0,022355694;0;0;0;0;0;0,043010753;0;0;0;0;0;0;0;0;0;0,013612851;0;0,03480589;0;0;0;0,006922811;0;0,018921322;0;0;0;0,058159351;0;0,005763689;0,02195122;0,006315623;0;0,001474017;0;0;0;0;0,00982801;0;0;0;0;0,057361377;0;0;0;0;0;0;0,056486537;0;0;0;0;0,015619168;0;0;0;0;0,007986284;0;0;0;0;0;0;0;0;0;0;0
"Bfrut";"Bupleurum fruticosum";0;0,135062128579146;270;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,015552075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,019987472;0;0;0;0,102964453;0;0;0;0;0;0;0;0;0
"Cnepe";"Calamintha nepeta";0;0,0578034682080925;50;4;1;1;0;0;0;0;0;0,015855283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ctenu";"Carduus tenuiflorus";0;0,075187969924812;35;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,086522463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cflac";"Carex flacca";0;0,0672947510094213;60;3;1;0;0;0;0;0;0;0;0,066160615;0,038338779;0;0;0,027330398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,028939062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
