"";"Allium ampeloprasum";"Allium roseum";"Anagallis monelli";"Anemone palmata";"Arbutus unedo";"Aristolochia baetica";"Asparagus albus";"Asparagus aphyllus";"Asphodelus fistulosus";"Asplenium sp.";"Asteriscus aquaticus";"Asterolinon linum-stellatum";"Avena barbata";"Blackstonia perfoliata";"Brachypodium distachyom";"Brachypodium phoenicoides";"Briza maxima";"Briza minor";"Bromus rubens";"Bupleurum fruticosum";"Calamintha nepeta";"Carduus tenuiflorus";"Carex flacca";"Carex hallerana";"Catapodium rigidum";"Centaurium erythraea";"Centranthus calcitrapae";"Cerastium glomeratum";"Ceratonia siliqua";"Ceterach officinarum";"Cheirolophus sempervirens";"Cistus albidus";"Cistus crispus";"Cistus monspeliensis";"Cistus salviifolius";"Plant_NI";"Convolvulus althaeoides";"Convolvulus arvensis";"Coronilla valentina";"Crepis capillaris";"Crepis sp.";"Dactylis glomerata";"Daphne gnidium";"Dittrichia viscosa";"Echium plantagineum ";"Erica arborea";"Erophaca baetica";"Erucastrum nasturtiifolium";"Euphorbia exigua";"Euphorbia helioscopia";"Foeniculum vulgare";"Galactites tomentosa";"Galium aparine";"Galium minutulum";"Galium murale";"Genista tournefortii";"Geof1";"Geranium robertianum";"Geranium rotundifolium";"Gladiolus illyricus";"Gram_ni1";"Helichrysum stoechas";"Iberis procumbens";"Jasminum fruticans";"Juniperus phoenicea";"Lavandula stoechas";"Lavatera cretica";"Lavatera olbia";"Leontodon taraxacoides";"Lonicera implexa";"Lonicera japonica";"Medicago polymorpha";"Melica ciliata";"Melica minuta";"Moricandia arvensis";"Myrtus communis";"Narduroides salzmannii";"Olea europaea";"Omphalodes linifolia";"Ononis natrix";"Ononis reclinata";"Ononis viscosa";"Ophrys apifera";"Origanum vulgare";"Osyris alba";"Osyris lanceolata";"Phagnalon saxatile";"Phillyrea angustifolia";"Phillyrea latifolia";"Phlomis purpurea";"Picris echioides";"Picris hieracioides";"Pinus halepensis";"Pinus pinea";"Piptatherum miliaceum";"Pistacia lentiscus";"Plantago sp.";"Polypogon maritimus";"Psoralaea bituminosa";"Pulicaria odora";"Quercus coccifera";"Quercus faginea";"Rapistrum rugosum";"Retama monosperma";"Rhamnus alaternus";"Rhamnus lycioides";"Rosmarinus officinalis";"Rostraria cristata";"Rubia peregrina";"Rubus ulmifolius";"Ruscus aculeatus";"Ruta chalepensis";"Salvia sclareoides";"Sanguisorba minor";"Scorpiurus muricatus";"Sedum album";"Sedum sediforme";"Serapias parviflora";"Serapias strictiflora";"Sherardia arvensis";"Silene sp.";"Sinapis alba";"Smilax aspera";"Solanum nigrum";"Sonchus oleraceus";"Spartium junceum";"Staehelina dubia";"Thapsia villosa";"Thymbra capitata";"Thymus mastichina";"Torilis arvensis";"Trifolium angustifolium";"Trifolium arvense";"Trifolium campestre";"Trifolium scabrum";"Tuberaria guttata";"Ulex sp.";"Urginea maritima";"Viburnum tinus";"Vicia parviflora";"Vicia sativa";"Vulpia bromoides";"Vulpia ciliata";"Acer monspessulanum";"Anacamptis pyramidalis";"Anthyllis vulneraria";"Atractylis cancellata";"Atractylis gummifera";"Brachypodium retusum";"Centaurea melitensis";"Centaurea sphaerocephala";"Cephalaria leucantha";"Erica scoparia";"Euphorbia characias";"Euphorbia nicaeensis";"Euphorbia pterococca";"Euphorbia serrata";"Euphorbia sulcata";"Gladiolus italicus";"Helianthemum marifolium";"Linum strictum";"Lobularia maritima";"Ononis pubescens";"Ononis pusilla";"Ornithogalum narbonense";"Phlomis lychnitis";"Quercus suber";"Reichardia picroides";"Ruta angustifolia";"Sideritis hirsuta";"Teucrium haenseleri";"Teucrium scorodonia"
"X1";0;0;0;0;0,126247833435842;0;0;0;0;0;0;0;0;0,0284587977163922;0;0,0121406143557941;0;0;0;0;0;0;0;0;0;0,100899372792672;0;0;0;0;0;0;0;0;0,0488973881532615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0725699331083551;0;0;0;0;0,0113543205222432;0;0;0;0;0;0,178653224933487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,293028503281263;0;0;0,0268506389080184;0;0;0,100899372792672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0297500244098643;0;0;0;0;0;0;0;0;0;0;0;0;0,033655899123568;0;0;0;0,0186097328016981;0;0,0708753638101941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0146059382973559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,370752505357464;0;0;0;0;0;0,3194010810337;0;0;0;0;0,0950284205155038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0473210346506515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X4";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0299415256483075;0,174035120604413;0;0;0;0,0205847994143312;0;0,0149707632962602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,266414461051088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0112280722361419;0;0;0;0;0;0;0;0;0;0;0,0207554064628076;0;0;0;0;0;0;0;0,0332012886164914;0;0;0;0;0,332282995270796;0;0;0;0;0;0;0;0;0;0;0;0;0;0,048292783699682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,048292783699682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X6";0;0;0;0;0;0;0;0;0;0;0;0;0;0,07053684101084;0;0;0;0;0;0;0;0;0,0604601495684113;0;0;0;0;0;0,0678975415019817;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0783433169770806;0;0,0705089853707564;0;0;0;0;0;0;0;0;0;0,0381270806668787;0;0;0;0;0,34255255716261;0;0;0,08356620471463;0;0;0;0;0;0;0;0;0;0;0,0728520828835141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,115155240143298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X7";0;0;0,0107434174228187;0;0,112686212141911;0;0;0;0;0;0;0;0;0,0125339869932885;0;0,0251807563391308;0;0;0;0;0;0;0,0358113904753183;0;0;0,111015311500972;0;0;0,0228297617899705;0;0;0,0228297617899705;0;0;0,0161151261342281;0;0;0;0;0;0;0,020001284167005;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0174580530785611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0287386407186665;0;0,0282014705013798;0;0;0;0;0;0;0;0;0;0,0376019600457881;0;0;0;0;0,24605114771082;0;0;0;0;0;0;0;0,0609688929871227;0;0;0,0268585426229694;0;0;0,0228297617899705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,141544521790108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X8";0;0;0;0;0,14194252978049;0;0;0;0;0;0;0;0;0,100696923274054;0,0113461321328783;0,0140480384281468;0;0;0,0212739973922914;0;0;0;0;0;0;0;0;0;0,0303527105947356;0;0;0;0;0;0;0;0;0;0;0;0;0,0170666615872323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0146535809084209;0;0;0;0;0;0;0;0,0883480675735582;0;0;0;0;0;0;0;0;0;0;0,0135503172467858;0;0;0;0,454886744341547;0;0;0,023035539129213;0;0;0,0113461321328783;0;0;0,0361786280854776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0212739973922914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X9";0;0;0;0;0,124207597588936;0;0;0;0;0;0;0;0;0,0122674169760989;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0162543278227673;0,102432932974046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0429359594163462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0138008438627997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,497881513168214;0;0;0;0;0;0,0838273499641735;0;0;0;0;0;0;0;0,0552201552333509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0122674169760989;0;0;0;0;0;0;0;0;0;0;0;0,0389044860171677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X10";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0135645459373597;0;0;0;0;0;0;0;0,0259987132051518;0;0;0;0;0;0,0696878557282418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0359460470193855;0,0118689779330084;0;0;0;0;0;0;0;0,0418240174329212;0,0158253042277694;0;0,0327244671452258;0;0,0152601148929856;0;0;0;0;0;0;0;0;0;0;0,0505279345203757;0;0;0;0,525799994321081;0;0,0214771985268817;0,0201772627714966;0;0;0;0;0;0;0;0;0,0128863185453642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0763084953743036;0;0;0;0;0;0;0,0113037885982246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0188189638202234;0;0;0;0;0;0;0;0;0
"X11";0;0;0;0;0,0850230659556904;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,029916398343013;0;0;0;0;0,0167651116102555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0357835654524815;0;0;0,0395177627425769;0;0;0;0;0;0,12573833660268;0;0,0191601274190818;0;0;0;0;0;0;0;0;0;0,0179626195146686;0;0;0;0;0,388643786756681;0;0;0;0;0,0256426368496794;0,0652721673887027;0;0;0,0239501590367346;0;0;0;0;0;0;0,0409547727969551;0;0;0;0;0,0291471139764726;0;0;0;0;0;0;0;0;0,0215551432279082;0;0;0;0;0;0;0;0,0198147647952763;0;0;0,0151524675311421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"X13";0;0;0;0;0,0107369418646503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0122707907024574;0;0;0;0;0;0;0,0571622327509606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0214738827936229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,497477473018594;0;0,135991033543586;0;0;0;0,157925071362822;0;0;0,070557044667775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0196514957509906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0167540335445408
