"LMA" "Dur_flowering" "Entomophily" "Zooc" "Resprouter" "Height" "multifunctionality"
"X1" 1 1 1 0 0 1 4
"X3" 1 1 1 0 0 1 4
"X4" 0 1 0 0 0 1 2
"X6" 1 0 0 0 0 1 2
"X7" 1 1 1 0 0 1 4
"X8" 1 0 0 0 0 1 2
"X9" 1 0 0 0 0 1 2
"X10" 1 0 0 0 0 1 2
"X11" 1 0 0 0 0 1 2
"X13" 1 1 0 0 0 1 3
"X14" 1 1 0 0 0 1 3
"X16" 1 1 1 0 0 0 3
"X17" 1 1 1 1 0 0 4
"X19" 1 1 0 0 0 0 2
"X20" 1 1 1 1 0 0 4
"X21" 1 1 0 0 0 1 3
"X22" 1 0 0 0 0 1 2
"X27" 1 1 1 1 0 1 5
"X28" 0 1 1 0 0 0 2
"X29" 1 0 0 0 0 1 2
"X30" 0 1 1 1 0 1 4
"X36" 0 1 1 0 0 0 2
"X37" 1 1 1 0 0 1 4
"X38" 0 1 1 1 0 0 3
"X39" 0 0 1 0 0 1 2
"X43" 1 0 0 0 0 1 2
"X44" 0 1 1 0 0 0 2
"X45" 1 0 1 0 0 0 2
"X46" 0 1 0 0 0 0 1
"X47" 0 1 1 0 0 1 3
"X48" 0 1 0 1 0 0 2
"X51" 1 0 0 0 0 1 2
"X52" 0 1 1 1 0 1 4
"X53" 0 0 1 0 0 1 2
"X55" 0 1 1 0 0 0 2
"X56" 0 1 1 0 0 0 2
"X57" 0 1 1 0 0 0 2
"X58" 0 1 1 0 0 0 2
"X60" 1 0 1 0 0 1 3
"X61" 1 0 0 0 0 1 2
"X62" 0 0 1 0 0 0 1
"X63" 0 1 1 0 0 0 2
"X65" 0 1 1 0 0 0 2
"X69" 1 0 0 0 0 1 2
"X71" 0 0 0 0 0 0 0
"X74" 1 0 0 0 0 1 2
"X75" 1 0 0 0 0 1 2
"X76" 1 0 0 0 0 1 2
"X79" 1 1 0 0 0 1 3
"X80" 0 1 0 0 0 1 2
"PE10" 0 0 0 0 0 1 1
"PE11" 0 0 0 0 0 1 1
"PE13.1" 0 1 1 0 0 1 3
"PE13.2" 0 0 1 0 0 1 2
"PE14" 1 1 1 0 0 1 4
"PE20" 1 1 1 0 0 1 4
"UECR1" 1 0 0 0 0 1 2
"UECR2" 1 0 0 0 0 1 2
"UECR3" 1 0 0 0 0 1 2
