"LMA" "Dur_flowering" "Entomophily" "Zooc" "Resprouter" "Height" "multifunctionality"
"sim1" 1 0 0 0 0 1 2
"sim2" 0 0 0 0 0 1 1
"sim3" 0 0 0 0 0 1 1
"sim4" 1 0 0 0 0 1 2
"sim5" 0 0 0 0 0 1 1
"sim6" 1 0 0 0 0 1 2
"sim7" 1 0 0 0 0 1 2
"sim8" 1 0 0 0 0 1 2
"sim9" 1 0 0 0 0 1 2
"sim10" 1 0 0 0 0 1 2
"sim11" 1 0 0 0 0 1 2
"sim12" 0 0 0 0 0 1 1
"sim13" 0 0 0 0 0 1 1
"sim14" 0 0 0 0 0 1 1
"sim15" 0 0 0 0 0 1 1
"sim16" 1 0 0 0 0 1 2
"sim17" 1 0 0 0 0 1 2
"sim18" 0 0 0 0 0 1 1
"sim19" 0 0 0 0 0 1 1
"sim20" 1 0 0 0 0 1 2
"sim21" 0 0 0 0 0 1 1
"sim22" 0 0 0 0 0 1 1
"sim23" 0 0 0 0 0 1 1
"sim24" 0 0 0 0 0 1 1
"sim25" 0 0 0 0 0 1 1
"sim26" 1 0 0 0 0 1 2
"sim27" 0 0 0 0 0 1 1
"sim28" 0 0 0 0 0 1 1
"sim29" 0 0 0 0 0 0 0
"sim30" 0 0 0 0 0 1 1
"sim31" 0 1 0 0 0 1 2
"sim32" 1 0 0 0 0 1 2
"sim33" 0 0 0 0 0 1 1
"sim34" 0 0 0 0 0 1 1
"sim35" 0 0 0 0 0 1 1
"sim36" 0 0 0 0 0 1 1
"sim37" 0 0 0 0 0 1 1
"sim38" 0 0 0 0 0 1 1
"sim39" 1 0 0 0 0 1 2
"sim40" 1 0 0 0 0 1 2
"sim41" 0 0 0 0 0 1 1
"sim42" 0 0 0 0 0 1 1
"sim43" 0 0 0 0 0 1 1
"sim44" 1 0 0 0 0 1 2
"sim45" 0 0 0 0 0 1 1
"sim46" 1 0 0 0 0 1 2
"sim47" 1 0 0 0 0 1 2
"sim48" 1 0 0 0 0 1 2
"sim49" 1 0 0 0 0 1 2
"sim50" 0 0 0 0 0 1 1
"sim51" 0 0 0 0 0 1 1
"sim52" 0 0 0 0 0 1 1
"sim53" 0 0 0 0 0 1 1
"sim54" 0 0 0 0 0 1 1
"sim55" 0 0 0 0 0 1 1
"sim56" 0 0 0 0 0 1 1
"sim57" 1 0 0 0 0 1 2
"sim58" 1 0 0 0 0 1 2
"sim59" 1 0 0 0 0 1 2
