"";"unavailable";"richness";"LMA";"Dur_flowering";"Entomophily";"Zooc";"Resprouter";"Height";"richness_new_spp"
"X1";5;18;0,107681940885741;3,9089980866865;0,663480315730511;0,629576539992834;0,622296208818636;0,288958491440621;6
"X3";6;11;0,0915924141593332;3,36390180949803;0,767829951983068;0,415155968555964;0,473684210775623;0,330966557907976;2
"X4";13;21;0,0823816814774075;4,23359421761775;0,316359301285838;0,273154329135096;0,582840699034569;0,565321561997843;2
"X6";4;22;0,111491285177339;4,10530707926226;0,663515782034128;0,412165558173379;0,289074686386239;0,232151220381894;10
"X7";12;31;0,103858452261403;3,90447736946009;0,639968256932404;0,517409154443641;0,583101068333578;0,429169458855103;6
"X8";13;25;0,112967037597303;3,7496852046227;0,509856539185002;0,524627460777755;0,617760903157895;0,468266792793694;5
"X9";7;23;0,0969051871978725;5,37250647636677;0,674390289545153;0,247489558062258;0,468477958185753;0,305524749819633;7
"X10";17;36;0,117835178494432;4,18367368337989;0,492240982897662;0,384557134891029;0,279954887042884;0,332999248933692;6
"X11";25;37;0,103325261554496;3,992236133478;0,647816807490124;0,489513554574049;0,32324723239135;0,301361888443039;11
"X13";7;24;0,098836021324864;4,8720670738648;0,523548304071567;0,387693763401036;0,156456482092071;0,420848377475308;10
"X14";22;32;0,106703094468234;3,93619762869967;0,547448011724012;0,498455809653955;0,332904870231558;0,209878820309657;11
"X16";10;24;0,115756910780359;4,40558511683599;0,548997681171227;0,576923613260862;0,215324672419691;0,136671766622675;10
"X17";9;29;0,0978297339246087;4,97573771029416;0,718915629725781;0,763833669153013;0,292374656174383;0,0584805440407984;12
"X19";7;17;0,0967393444074072;4,01107163986068;0,659967510647059;0,827529151858921;0,701419401578947;0,108406947606236;5
"X20";7;24;0,115884744377589;4,55053963412529;0,653775011467808;0,822143611618895;0,211802497200595;0,0862825914712601;13
"X21";8;21;0,0989682544462405;4,94254394490587;0,504827084166742;0,773575708181004;0,16016546411836;0,193782187365343;5
"X22";4;17;0,122921760252054;4,11780504824068;0,52082071623297;0,328194017778101;0,147386181180059;0,329330310359654;8
"X27";9;21;0,104084878146774;4,40791024238019;0,65728501537628;0,797833683287125;0,758142795263158;0,191662657569031;6
"X28";10;24;0,0964497432492213;5,42254958993125;0,791053208298632;0,390615796862828;0,24878161717354;0,305150134444135;5
"X29";10;25;0,114005278342694;3,9168886431768;0,573617094714858;0,503010133787488;0,384540625973535;0,317395563724731;7
"X30";10;26;0,0976713176044816;4,2817679388907;0,72057255738095;0,765615144308254;0,431059943886561;0,239198721462069;10
"X36";16;29;0,104698928426804;3,92844523115505;0,642380168570651;0,762408718289704;0,435581740723616;0,084016672030076;7
"X37";10;29;0,112037802274271;4,34490356344338;0,5581931777012;0,545138405413705;0,169224292669512;0,248313880106243;11
"X38";7;22;0,0975126694778951;4,23670900308474;0,566806033182794;0,849677663170421;0,263040398377239;0,129545174037294;9
"X39";10;27;0,0955009394043041;4,0436169885354;0,523147974742951;0,462071473587514;0,224585903134041;0,095967330096394;12
"X43";11;30;0,114464453300379;3,99139664952569;0,488410151830254;0,417621787346323;0,446293216024753;0,317198963328729;5
"X44";20;28;0,0948741654335139;4,86969677052325;0,77492186428228;0,299680910647392;0,707729530620688;0,112855224506677;9
